TIME,LATITUDE,LONGITUDE,TEMP,TEMP_quality_control,platform_code,vessel_name,year,month
2011-11-23 02:00:00+00:00,-23.0,152.0,25.3,Z,9HA2479,Pacific Sun,2011,11
2012-04-16 02:00:00+00:00,-23.0,151.9,25.6,Z,9HA2479,Pacific Sun,2012,4
2012-06-18 02:00:00+00:00,-23.0,152.0,23.2,Z,9HA2479,Pacific Sun,2012,6
2012-06-25 02:00:00+00:00,-23.0,152.0,23.0,Z,9HA2479,Pacific Sun,2012,6
2013-03-05 13:00:00+00:00,-23.0,152.0,26.7,Z,C6FS9,Stadacona,2013,3
2013-11-11 14:00:00+00:00,-23.0,151.9,24.6,Z,C6FS9,Stadacona,2013,11
2009-10-09 00:22:00+00:00,-23.0012,152.0839,23.4241,Z,VRZN9,Pacific Celebes,2009,10
2009-10-09 00:24:00+00:00,-23.0065,152.0888,23.4249,Z,VRZN9,Pacific Celebes,2009,10
2009-10-09 00:26:00+00:00,-23.0121,152.094,23.4089,Z,VRZN9,Pacific Celebes,2009,10
2009-10-09 00:28:00+00:00,-23.0177,152.0988,23.3876,Z,VRZN9,Pacific Celebes,2009,10
2015-11-05 03:03:00+00:00,-23.0385,152.0817,24.24,Z,VRDU8,OOCL Panama,2015,11
2015-12-10 04:03:00+00:00,-23.0407,152.0817,26.22,Z,VRDU8,OOCL Panama,2015,12
2014-04-10 04:06:00+00:00,-23.4692,152.0874,26.1554,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:07:00+00:00,-23.4692,152.0855,26.1596,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:08:00+00:00,-23.47,152.0834,26.156,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:09:00+00:00,-23.4703,152.0833,26.1524,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:11:00+00:00,-23.47,152.0827,26.1689,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:12:00+00:00,-23.4697,152.0824,26.1453,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:13:00+00:00,-23.4696,152.0821,26.139,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:14:00+00:00,-23.4693,152.0818,26.1643,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:15:00+00:00,-23.4689,152.0816,26.1562,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:16:00+00:00,-23.4684,152.0806,26.1312,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:17:00+00:00,-23.4691,152.0781,26.1325,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:18:00+00:00,-23.4698,152.075,26.1249,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:19:00+00:00,-23.4703,152.0717,26.118,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:20:00+00:00,-23.4709,152.0686,26.1266,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:21:00+00:00,-23.4712,152.0654,26.1267,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:22:00+00:00,-23.4714,152.0621,26.1246,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:23:00+00:00,-23.4719,152.0592,26.1042,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:24:00+00:00,-23.4728,152.0561,26.0972,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:25:00+00:00,-23.4736,152.0531,26.0663,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:26:00+00:00,-23.4746,152.0502,26.0782,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:27:00+00:00,-23.4756,152.0472,26.0711,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:28:00+00:00,-23.4765,152.0458,26.0763,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:29:00+00:00,-23.4774,152.0455,26.0915,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:30:00+00:00,-23.4778,152.0451,26.0898,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:31:00+00:00,-23.478,152.0443,26.0892,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:32:00+00:00,-23.4779,152.0436,26.0754,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:33:00+00:00,-23.4778,152.0432,26.0817,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:34:00+00:00,-23.4778,152.0427,26.1155,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:35:00+00:00,-23.4777,152.0424,26.0728,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:36:00+00:00,-23.4773,152.0413,26.0747,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:37:00+00:00,-23.4788,152.0387,26.0639,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:38:00+00:00,-23.48,152.0356,26.0574,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:39:00+00:00,-23.4808,152.0326,26.0607,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:40:00+00:00,-23.4814,152.0294,26.0707,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:41:00+00:00,-23.4825,152.0264,26.0737,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:42:00+00:00,-23.4835,152.0235,26.0893,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:43:00+00:00,-23.4847,152.0205,26.1096,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:44:00+00:00,-23.486,152.0176,26.107,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:45:00+00:00,-23.4872,152.0148,26.1016,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:46:00+00:00,-23.4885,152.012,26.1093,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:47:00+00:00,-23.4896,152.0096,26.1235,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:48:00+00:00,-23.4906,152.0089,26.1056,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:49:00+00:00,-23.4909,152.0086,26.0951,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:50:00+00:00,-23.4917,152.0083,26.1286,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:51:00+00:00,-23.4926,152.0082,26.1279,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:52:00+00:00,-23.4929,152.0082,26.1234,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:58:00+00:00,-23.4924,152.0073,26.1101,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 04:59:00+00:00,-23.4922,152.006,26.1219,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:00:00+00:00,-23.4933,152.0037,26.1043,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:01:00+00:00,-23.4943,152.001,26.1108,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:02:00+00:00,-23.4951,151.9985,26.1149,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:03:00+00:00,-23.4958,151.9958,26.1279,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:04:00+00:00,-23.4964,151.9931,26.1488,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:05:00+00:00,-23.4969,151.9904,26.1963,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:06:00+00:00,-23.4974,151.9878,26.2075,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:07:00+00:00,-23.4979,151.9849,26.2081,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:08:00+00:00,-23.4983,151.9823,26.1918,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:09:00+00:00,-23.4986,151.9795,26.1859,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:10:00+00:00,-23.4994,151.977,26.185,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:11:00+00:00,-23.5004,151.9744,26.186,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:12:00+00:00,-23.5013,151.9718,26.1916,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:13:00+00:00,-23.5022,151.9693,26.1889,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:14:00+00:00,-23.5031,151.9667,26.1868,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:15:00+00:00,-23.5041,151.9643,26.1866,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:16:00+00:00,-23.5051,151.9615,26.1799,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:17:00+00:00,-23.5062,151.9588,26.1728,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:18:00+00:00,-23.5073,151.9563,26.1657,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:19:00+00:00,-23.5089,151.9542,26.1616,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:20:00+00:00,-23.51,151.9535,26.1597,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:23:00+00:00,-23.5096,151.9532,26.1585,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:24:00+00:00,-23.5094,151.953,26.1584,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:25:00+00:00,-23.5091,151.9528,26.1546,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:26:00+00:00,-23.5088,151.9526,26.157,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:27:00+00:00,-23.5082,151.9529,26.1574,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:28:00+00:00,-23.5072,151.9514,26.1559,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:29:00+00:00,-23.5082,151.9488,26.1544,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:30:00+00:00,-23.5098,151.9463,26.1573,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:31:00+00:00,-23.5115,151.944,26.1508,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:32:00+00:00,-23.5132,151.9416,26.1509,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:33:00+00:00,-23.5147,151.9392,26.1466,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:34:00+00:00,-23.5161,151.9365,26.1459,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:35:00+00:00,-23.5174,151.934,26.1469,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:36:00+00:00,-23.5186,151.9312,26.1543,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:37:00+00:00,-23.5199,151.9285,26.1551,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:38:00+00:00,-23.5214,151.926,26.1504,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:39:00+00:00,-23.5228,151.9234,26.1511,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:40:00+00:00,-23.5241,151.9207,26.1435,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:41:00+00:00,-23.5254,151.918,26.1388,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:42:00+00:00,-23.5267,151.9153,26.1356,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:43:00+00:00,-23.5279,151.9127,26.1376,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:44:00+00:00,-23.529,151.9098,26.1424,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:45:00+00:00,-23.5301,151.907,26.1428,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:46:00+00:00,-23.5315,151.9043,26.138,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:47:00+00:00,-23.5327,151.9016,26.1408,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:48:00+00:00,-23.5343,151.8991,26.1409,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:49:00+00:00,-23.5358,151.8965,26.1414,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:50:00+00:00,-23.5373,151.894,26.1412,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:51:00+00:00,-23.5388,151.8913,26.1416,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:52:00+00:00,-23.5403,151.8887,26.1442,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:53:00+00:00,-23.5416,151.8862,26.1479,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:54:00+00:00,-23.5428,151.8834,26.1502,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:55:00+00:00,-23.5443,151.8808,26.1471,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:56:00+00:00,-23.5455,151.878,26.1429,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:57:00+00:00,-23.5471,151.8755,26.14,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:58:00+00:00,-23.5488,151.8735,26.1404,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 05:59:00+00:00,-23.5498,151.873,26.1328,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:01:00+00:00,-23.5496,151.8726,26.1274,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:02:00+00:00,-23.5494,151.8724,26.1344,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:03:00+00:00,-23.5491,151.8722,26.1529,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:04:00+00:00,-23.5489,151.8719,26.1367,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:05:00+00:00,-23.5486,151.8717,26.1698,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:06:00+00:00,-23.5477,151.8719,26.1378,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:07:00+00:00,-23.5456,151.8709,26.139,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:08:00+00:00,-23.5434,151.8689,26.1411,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:09:00+00:00,-23.5411,151.8671,26.1418,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:10:00+00:00,-23.5388,151.8652,26.1444,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:11:00+00:00,-23.5363,151.8639,26.1396,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:12:00+00:00,-23.5339,151.8622,26.1423,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:13:00+00:00,-23.5315,151.8608,26.1404,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:14:00+00:00,-23.529,151.8593,26.1392,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:15:00+00:00,-23.5266,151.8579,26.1364,Z,VNCF,RV Cape Ferguson,2014,4
2014-04-10 06:16:00+00:00,-23.5241,151.8565,26.1374,Z,VNCF,RV Cape Ferguson,2014,4
