TIME,LATITUDE,LONGITUDE,TEMP,TEMP_quality_control,platform_code,vessel_name,year,month
2010-12-18 18:00:00+00:00,-33.8,151.5,20.2,Z,9HA2479,Pacific Sun,2010,12
2010-12-18 19:00:00+00:00,-33.8,151.3,19.5,Z,9HA2479,Pacific Sun,2010,12
2010-12-19 06:00:00+00:00,-33.8,151.3,19.7,Z,9HA2479,Pacific Sun,2010,12
2010-12-19 07:00:00+00:00,-33.7,151.6,20.7,Z,9HA2479,Pacific Sun,2010,12
2010-12-28 18:00:00+00:00,-33.8,151.5,20.1,Z,9HA2479,Pacific Sun,2010,12
2010-12-28 19:00:00+00:00,-33.8,151.3,20.0,Z,9HA2479,Pacific Sun,2010,12
2010-12-29 07:00:00+00:00,-33.7,151.6,20.6,Z,9HA2479,Pacific Sun,2010,12
2011-01-09 18:00:00+00:00,-33.8,151.5,23.0,Z,9HA2479,Pacific Sun,2011,1
2011-01-09 19:00:00+00:00,-33.8,151.3,22.7,Z,9HA2479,Pacific Sun,2011,1
2011-01-10 07:00:00+00:00,-33.7,151.5,22.9,Z,9HA2479,Pacific Sun,2011,1
2011-01-17 18:00:00+00:00,-33.8,151.5,25.5,Z,9HA2479,Pacific Sun,2011,1
2011-01-17 19:00:00+00:00,-33.8,151.3,23.1,Z,9HA2479,Pacific Sun,2011,1
2011-01-18 06:00:00+00:00,-33.8,151.3,23.9,Z,9HA2479,Pacific Sun,2011,1
2011-01-18 07:00:00+00:00,-33.7,151.5,25.3,Z,9HA2479,Pacific Sun,2011,1
2011-01-27 18:00:00+00:00,-33.8,151.5,24.3,Z,9HA2479,Pacific Sun,2011,1
2011-01-28 07:00:00+00:00,-33.8,151.3,23.6,Z,9HA2479,Pacific Sun,2011,1
2011-02-03 20:00:00+00:00,-33.7,151.6,24.1,Z,9HA2479,Pacific Sun,2011,2
2011-02-03 21:00:00+00:00,-33.8,151.4,23.4,Z,9HA2479,Pacific Sun,2011,2
2011-02-04 08:00:00+00:00,-33.8,151.2,25.2,Z,9HA2479,Pacific Sun,2011,2
2011-02-04 09:00:00+00:00,-33.8,151.3,24.2,Z,9HA2479,Pacific Sun,2011,2
2011-03-06 16:00:00+00:00,-33.7,151.8,23.0,Z,9HA2479,Pacific Sun,2011,3
2011-03-06 17:00:00+00:00,-33.8,151.7,22.8,Z,9HA2479,Pacific Sun,2011,3
2011-03-07 09:00:00+00:00,-33.8,151.5,22.8,Z,9HA2479,Pacific Sun,2011,3
2011-03-07 10:00:00+00:00,-33.8,151.3,22.5,Z,9HA2479,Pacific Sun,2011,3
2011-03-08 06:00:00+00:00,-33.8,151.2,23.4,Z,9HA2479,Pacific Sun,2011,3
2011-03-08 07:00:00+00:00,-33.8,151.4,22.7,Z,9HA2479,Pacific Sun,2011,3
2011-03-08 08:00:00+00:00,-33.7,151.5,22.9,Z,9HA2479,Pacific Sun,2011,3
2011-03-14 21:00:00+00:00,-33.8,151.4,22.8,Z,9HA2479,Pacific Sun,2011,3
2011-03-14 22:00:00+00:00,-33.8,151.3,22.6,Z,9HA2479,Pacific Sun,2011,3
2011-03-15 08:00:00+00:00,-33.8,151.3,22.8,Z,9HA2479,Pacific Sun,2011,3
2011-03-15 09:00:00+00:00,-33.7,151.5,23.1,Z,9HA2479,Pacific Sun,2011,3
2011-03-24 18:00:00+00:00,-33.8,151.4,22.4,Z,9HA2479,Pacific Sun,2011,3
2011-03-24 19:00:00+00:00,-33.8,151.3,22.4,Z,9HA2479,Pacific Sun,2011,3
2011-03-25 06:00:00+00:00,-33.8,151.3,22.7,Z,9HA2479,Pacific Sun,2011,3
2011-03-25 07:00:00+00:00,-33.7,151.5,22.5,Z,9HA2479,Pacific Sun,2011,3
2011-06-20 19:00:00+00:00,-33.8,151.4,19.9,Z,9HA2479,Pacific Sun,2011,6
2011-06-20 20:00:00+00:00,-33.8,151.3,16.6,Z,9HA2479,Pacific Sun,2011,6
2011-06-21 13:00:00+00:00,-33.8,151.3,17.2,Z,9HA2479,Pacific Sun,2011,6
2011-06-21 14:00:00+00:00,-33.7,151.6,20.1,Z,9HA2479,Pacific Sun,2011,6
2011-06-30 18:00:00+00:00,-33.8,151.5,20.7,Z,9HA2479,Pacific Sun,2011,6
2011-06-30 19:00:00+00:00,-33.8,151.3,18.0,Z,9HA2479,Pacific Sun,2011,6
2011-07-01 07:00:00+00:00,-33.8,151.3,17.3,Z,9HA2479,Pacific Sun,2011,7
2011-07-01 08:00:00+00:00,-33.8,151.5,20.5,Z,9HA2479,Pacific Sun,2011,7
2011-07-08 20:00:00+00:00,-33.8,151.4,19.7,Z,9HA2479,Pacific Sun,2011,7
2011-07-08 21:00:00+00:00,-33.8,151.2,15.9,Z,9HA2479,Pacific Sun,2011,7
2011-07-09 07:00:00+00:00,-33.8,151.3,17.3,Z,9HA2479,Pacific Sun,2011,7
2011-07-09 08:00:00+00:00,-33.7,151.5,20.0,Z,9HA2479,Pacific Sun,2011,7
2011-07-16 19:00:00+00:00,-33.8,151.5,18.1,Z,9HA2479,Pacific Sun,2011,7
2011-07-16 20:00:00+00:00,-33.8,151.3,17.4,Z,9HA2479,Pacific Sun,2011,7
2011-07-17 07:00:00+00:00,-33.8,151.3,17.2,Z,9HA2479,Pacific Sun,2011,7
2011-07-24 18:00:00+00:00,-33.7,151.7,19.2,Z,9HA2479,Pacific Sun,2011,7
2011-07-24 19:00:00+00:00,-33.8,151.4,19.0,Z,9HA2479,Pacific Sun,2011,7
2011-07-25 09:00:00+00:00,-33.7,151.5,19.1,Z,9HA2479,Pacific Sun,2011,7
2011-11-17 15:00:00+00:00,-33.8,151.5,19.8,Z,9HA2479,Pacific Sun,2011,11
2011-11-17 16:00:00+00:00,-33.8,151.3,19.7,Z,9HA2479,Pacific Sun,2011,11
2011-11-18 13:00:00+00:00,-33.8,151.3,20.0,Z,9HA2479,Pacific Sun,2011,11
2011-11-20 08:00:00+00:00,-33.7,151.8,20.9,Z,9HA2479,Pacific Sun,2011,11
2011-11-20 17:00:00+00:00,-33.7,151.7,20.2,Z,9HA2479,Pacific Sun,2011,11
2011-11-20 18:00:00+00:00,-33.8,151.5,19.8,Z,9HA2479,Pacific Sun,2011,11
2011-11-20 19:00:00+00:00,-33.8,151.3,19.5,Z,9HA2479,Pacific Sun,2011,11
2011-11-30 18:00:00+00:00,-33.8,151.4,19.1,Z,9HA2479,Pacific Sun,2011,11
2011-11-30 19:00:00+00:00,-33.8,151.3,19.5,Z,9HA2479,Pacific Sun,2011,11
2011-12-01 07:00:00+00:00,-33.8,151.3,18.9,Z,9HA2479,Pacific Sun,2011,12
2011-12-01 08:00:00+00:00,-33.8,151.5,18.9,Z,9HA2479,Pacific Sun,2011,12
2011-12-01 09:00:00+00:00,-33.8,151.6,19.1,Z,9HA2479,Pacific Sun,2011,12
2011-12-01 10:00:00+00:00,-33.7,151.7,19.2,Z,9HA2479,Pacific Sun,2011,12
2011-12-01 13:00:00+00:00,-33.7,151.7,19.4,Z,9HA2479,Pacific Sun,2011,12
2011-12-01 14:00:00+00:00,-33.8,151.6,18.6,Z,9HA2479,Pacific Sun,2011,12
2011-12-03 16:00:00+00:00,-33.7,151.8,19.8,Z,9HA2479,Pacific Sun,2011,12
2011-12-03 17:00:00+00:00,-33.8,151.6,19.3,Z,9HA2479,Pacific Sun,2011,12
