month,temp_C_mean,temp_C_sd_across_years,n_years
1,27.352737891223274,0.8035870783327403,7
2,27.917388339110076,0.7987702350243413,3
3,27.240760126004023,0.3669288052000152,5
4,26.159720987334197,0.3731537991586275,5
5,24.6913758893879,0.9263395849078268,2
6,22.255312286728255,0.7637218737058573,4
7,21.83588918888113,0.10111862552002149,3
8,21.77501109895387,0.6763023276895562,6
9,22.206886934045176,0.40491804593930736,5
10,23.171915704736325,0.4042669837202702,6
11,24.837772202390326,0.41720614641865844,6
12,26.313330090052016,0.25773210932804375,4
