month,temp_C_mean,temp_C_sd_across_years,n_years
1,23.853582991353722,0.5787742033061288,9
2,23.965141,1.3471610528078257,10
3,23.830214532520326,1.3372848530299328,8
4,23.407711404958675,1.3358079602197153,11
5,21.858125925925926,1.0506751591275565,9
6,20.865094326599326,1.2143494314413619,9
7,19.01440974120083,1.2689605617209467,10
8,18.684730415492204,1.0862711171612882,9
9,19.306388857142856,1.350786112659851,10
10,20.29295987012987,1.0988009918185282,10
11,20.667344276094276,1.089194680294918,9
12,21.506851458333333,1.3074541431976243,8
