year,temp_C_mean,temp_C_sd,n_observations
2009,23.411375,0.017475959677988814,4
2011,25.3,,1
2012,22.413636363636364,1.2312732297235112,22
2013,26.38,0.9712878049270454,6
2014,23.438999049881236,1.7271247142018171,1684
2015,24.316915937149272,2.2978979052868342,2673
2016,22.95272513368984,0.35933441555947365,748
2017,23.890296526216122,0.3637011195257517,16898
2018,27.19357781569966,0.1691639573665813,293
2019,24.643010554668795,2.3141607363062793,15036
2020,23.794015072430877,2.3478929341633825,26439
2021,24.74208801168038,2.449297331008887,18835
2022,23.20541397455156,2.932567341846915,22634
2023,25.268702668600437,2.7206189468781132,6895
2024,25.628814692124838,2.71701419790917,13041
2025,26.272232371986224,0.7328518694998181,21775
