year,temp_C_mean,temp_C_sd,n_observations
2009,21.55,1.409153748075166,8
2010,20.08525368956743,2.711267237192291,393
2011,20.983478260869564,2.236457507206609,115
2012,20.980598333333333,2.438025034391824,180
2013,22.804285714285715,2.1326759899963417,28
2014,21.183333333333334,2.772210582757291,12
2015,21.343636363636364,1.165746736879608,11
2016,21.88923076923077,2.2600812783206234,26
2017,22.678125,1.4967084719476922,16
2018,23.0,2.0842264752180846,6
2019,19.194409375,0.730239336090429,32
2020,22.79311891891892,1.9206629961838468,37
2021,17.65,0.2121320343559635,2
2022,20.738070967741933,1.8240521880680118,31
2023,20.406447368421055,2.040989619269268,19
2024,23.34667142857143,1.5078745917146497,28
