"Geneid","log2FC_T20","padj_T20","log2FC_T26","padj_T26"
"Cvel_193",-15.6366013305099,1.4301070727635e-37,-16.3466467603466,8.19618513710605e-41
"Cvel_30602",-11.1423622859652,1.84357187821803e-83,-15.2385075682687,1.37054475614458e-35
"Cvel_6379",-14.691058320517,7.50476585004028e-33,-15.0218379465433,5.97432372309891e-34
"Cvel_4956",-14.6470190312058,8.0637235122399e-33,-10.7714093852252,9.91122349909034e-91
"Cvel_25417",-14.5567115993035,2.62462345298802e-32,-14.6433663866578,3.53108488192002e-33
"Cvel_6276",-14.4968708698448,4.48284913521568e-32,-14.2637196840351,1.58254842472346e-31
"Cvel_16631",-14.3746644381961,3.08563903615019e-30,-13.3954429901143,1.28219722839819e-26
"Cvel_29481",-13.8600240426229,1.9362887830337e-29,-14.2782438573209,1.40153943065311e-31
"Cvel_21499",-13.5671303777544,3.37007999576592e-26,-14.1681031516765,3.6000982124079e-29
"Cvel_5868",-13.6246855715703,2.1319609594292e-28,-14.1559041278516,6.51360573637728e-30
"Cvel_21088",-13.3816505613871,5.45247719347465e-27,-14.1420158217765,5.10796939911564e-31
"Cvel_31957",-14.1360773596023,1.255537525977e-30,-12.903697290167,1.49952960722772e-33
"Cvel_14522",-14.1060954824931,1.02233814450568e-29,-12.3842644285182,6.26780351367638e-31
"Cvel_8982",-10.568495102671,1.11347975570449e-13,-14.0986617655929,2.3978283208504e-29
"Cvel_12039",-14.0343281119486,1.15636917172304e-29,-14.0506966466388,1.83969839406447e-30
"Cvel_31665",-13.9897473282787,3.88094542439708e-30,-14.0275241824588,4.62497735817e-30
"Cvel_6190",-12.6374976273399,3.94580128660232e-24,-14.0124617017546,2.39426759214416e-30
"Cvel_9882",-13.9126271190703,9.09503692994425e-29,-13.8457735457697,2.15941718686109e-29
"Cvel_26976",-13.8009401757184,4.85660908810932e-26,-9.76465606736416,5.49453952368086e-12
"Cvel_23384",-13.2600420631488,1.29031565255011e-26,-13.7176293704135,4.99908173511101e-29
"Cvel_10966",-13.3224995777145,3.95707659850129e-27,-13.6340054465572,9.20515632865701e-29
"Cvel_2673",-13.0493062063368,1.22493294985647e-25,-13.5755720091836,1.20609728570622e-27
"Cvel_28033",-13.5231334394305,8.93922937788029e-37,-13.5697349922654,3.1601537526375e-52
"Cvel_14787",-13.5549932673532,7.71372662974616e-28,-13.2535478873465,1.94364614498696e-26
"Cvel_14205",-9.3350162784088,5.17625036173443e-45,-13.5519181156658,1.12830085371659e-27
"Cvel_10545",-13.5290152411993,4.55689885541358e-27,-13.3965005884079,8.03042701817818e-28
"Cvel_31344",-11.479831291412,1.02484140225027e-37,-13.5033940737296,5.34422651171036e-28
"Cvel_2511",-12.9216464085919,3.47978626938373e-25,-13.4420953352629,6.682610686317e-28
"Cvel_2790",-12.501497932022,1.27896366946379e-23,-13.401251741835,1.27855577723978e-27
"Cvel_19084",-11.7994930209595,3.24055209239218e-28,-13.3958565064913,9.69980419181385e-28
"Cvel_25373",-13.3846343789292,2.08468472246145e-27,-11.712152256918,1.04708330882222e-27
"Cvel_25374",-11.9504861226113,1.61637311935819e-53,-13.3739715529024,3.68139670343308e-36
"Cvel_11819",-13.0442840052375,3.34589881215728e-23,-13.3541559951883,1.0785721277542e-25
"Cvel_25936",-12.7681417119217,7.038785967031e-25,-13.3487652292107,2.72355020494883e-27
"Cvel_24538",-13.0789104074107,8.22658888177158e-26,-13.3276024640007,2.85826128761014e-26
"Cvel_16901",-13.2766781362212,1.10430636278962e-26,-9.90915627025715,9.00107118183316e-20
